linker_id,name,xyz_file,smiles
997,ch2_15_c_link__14_pyramidine__site1,ch2_15_c_link__14_pyramidine__site1.xyz,c1cnc(nc1)Cc1cccc2c1-c1ccccc1CC2
998,ch2_15_c_link__14_pyramidine__site2,ch2_15_c_link__14_pyramidine__site2.xyz,c1cnc(nc1)Cc1ccc2c(-c3ccccc3CC2)c1
999,ch2_15_c_link__14_pyramidine__site3,ch2_15_c_link__14_pyramidine__site3.xyz,c1cnc(nc1)Cc1cccc2-c3c(CCc12)cccc3
1000,ch2_15_c_link__14_pyramidine__site4,ch2_15_c_link__14_pyramidine__site4.xyz,c1cnc(nc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1001,ch2_15_c_link__15_DABCO_H1__site1,ch2_15_c_link__15_DABCO_H1__site1.xyz,c1cc(C[C@H]2C[N@@]3CC[N@]2CC3)c2-c3ccccc3CCc2c1
1002,ch2_15_c_link__15_DABCO_H1__site2,ch2_15_c_link__15_DABCO_H1__site2.xyz,c1ccc2c(-c3cc(ccc3CC2)C[C@H]2C[N@@]3CC[N@]2CC3)c1
1003,ch2_15_c_link__15_DABCO_H1__site3,ch2_15_c_link__15_DABCO_H1__site3.xyz,c1cc(C[C@H]2C[N@@]3CC[N@]2CC3)c2c(-c3ccccc3CC2)c1
1004,ch2_15_c_link__15_DABCO_H1__site4,ch2_15_c_link__15_DABCO_H1__site4.xyz,c1ccc2-c3ccccc3C[C@H](c2c1)C[C@H]1C[N@@]2CC[N@]1CC2
1005,ch2_15_c_link__16_NEt2__site1,ch2_15_c_link__16_NEt2__site1.xyz,CCN(Cc1cccc2c1-c1ccccc1CC2)CC
1006,ch2_15_c_link__16_NEt2__site2,ch2_15_c_link__16_NEt2__site2.xyz,CCN(Cc1ccc2c(-c3ccccc3CC2)c1)CC
1007,ch2_15_c_link__16_NEt2__site4,ch2_15_c_link__16_NEt2__site4.xyz,CCN(C[C@@H]1Cc2ccccc2-c2c1cccc2)CC
1008,ch2_15_c_link__17_base__site1,ch2_15_c_link__17_base__site1.xyz,c1cc(C[C@H]2C[C@@H]3CC[N@]2CC3)c2-c3ccccc3CCc2c1
1009,ch2_15_c_link__17_base__site2,ch2_15_c_link__17_base__site2.xyz,c1ccc2c(-c3cc(ccc3CC2)C[C@H]2C[C@@H]3CC[N@]2CC3)c1
1010,ch2_15_c_link__17_base__site3,ch2_15_c_link__17_base__site3.xyz,c1cc(C[C@H]2C[C@@H]3CC[N@]2CC3)c2c(-c3ccccc3CC2)c1
1011,ch2_15_c_link__17_base__site4,ch2_15_c_link__17_base__site4.xyz,c1ccc2-c3ccccc3C[C@H](c2c1)C[C@H]1C[C@@H]2CC[N@]1CC2
1012,ch2_15_c_link__18_base__site1,ch2_15_c_link__18_base__site1.xyz,c1cc(C[C@H]2C[N@@]3CC[C@H]2CC3)c2-c3ccccc3CCc2c1
1013,ch2_15_c_link__18_base__site2,ch2_15_c_link__18_base__site2.xyz,c1ccc2c(-c3cc(ccc3CC2)C[C@H]2C[N@@]3CC[C@H]2CC3)c1
1014,ch2_15_c_link__18_base__site3,ch2_15_c_link__18_base__site3.xyz,c1cc(C[C@H]2C[N@@]3CC[C@H]2CC3)c2c(-c3ccccc3CC2)c1
1015,ch2_15_c_link__18_base__site4,ch2_15_c_link__18_base__site4.xyz,c1ccc2-c3ccccc3C[C@H](c2c1)C[C@H]1C[N@@]2CC[C@H]1CC2
1016,ch2_15_c_link__19_base__site1,ch2_15_c_link__19_base__site1.xyz,c1cc(C[C@]23CC[N@](CC2)CC3)c2-c3ccccc3CCc2c1
1017,ch2_15_c_link__19_base__site2,ch2_15_c_link__19_base__site2.xyz,c1ccc2c(-c3cc(ccc3CC2)C[C@]23CC[N@](CC2)CC3)c1
1018,ch2_15_c_link__19_base__site3,ch2_15_c_link__19_base__site3.xyz,c1cc(C[C@]23CC[N@](CC2)CC3)c2c(-c3ccccc3CC2)c1
1019,ch2_15_c_link__19_base__site4,ch2_15_c_link__19_base__site4.xyz,c1ccc2-c3ccccc3C[C@H](c2c1)C[C@]12CC[N@](CC1)CC2
1020,ch2_15_c_link__20_H2__site4,ch2_15_c_link__20_H2__site4.xyz,Nc1ccc(cc1)N(C[C@@H]1Cc2ccccc2-c2c1cccc2)C
1021,ch2_15_c_link__21_H2__site4,ch2_15_c_link__21_H2__site4.xyz,Nc1ccc(cc1)NC[C@@H]1Cc2ccccc2-c2c1cccc2
1022,ch2_15_c_link__1_NH2__site1,ch2_15_c_link__1_NH2__site1.xyz,NCc1cccc2c1-c1ccccc1CC2
1023,ch2_15_c_link__1_NH2__site2,ch2_15_c_link__1_NH2__site2.xyz,NCc1ccc2c(-c3ccccc3CC2)c1
1024,ch2_15_c_link__1_NH2__site3,ch2_15_c_link__1_NH2__site3.xyz,NCc1cccc2-c3c(CCc12)cccc3
1025,ch2_15_c_link__1_NH2__site4,ch2_15_c_link__1_NH2__site4.xyz,NC[C@@H]1Cc2ccccc2-c2c1cccc2
1026,ch2_15_c_link__2_NMe2__site1,ch2_15_c_link__2_NMe2__site1.xyz,CN(Cc1cccc2c1-c1ccccc1CC2)C
1027,ch2_15_c_link__2_NMe2__site2,ch2_15_c_link__2_NMe2__site2.xyz,CN(Cc1ccc2c(-c3ccccc3CC2)c1)C
1028,ch2_15_c_link__2_NMe2__site3,ch2_15_c_link__2_NMe2__site3.xyz,CN(Cc1cccc2-c3c(CCc12)cccc3)C
1029,ch2_15_c_link__2_NMe2__site4,ch2_15_c_link__2_NMe2__site4.xyz,CN(C[C@@H]1Cc2ccccc2-c2c1cccc2)C
1030,ch2_15_c_link__3_N_iPr2__site1,ch2_15_c_link__3_N_iPr2__site1.xyz,CC(N(C(C)C)Cc1cccc2c1-c1ccccc1CC2)C
1031,ch2_15_c_link__3_N_iPr2__site2,ch2_15_c_link__3_N_iPr2__site2.xyz,CC(N(C(C)C)Cc1ccc2c(-c3ccccc3CC2)c1)C
1032,ch2_15_c_link__3_N_iPr2__site3,ch2_15_c_link__3_N_iPr2__site3.xyz,CC(N(C(C)C)Cc1cccc2-c3c(CCc12)cccc3)C
1033,ch2_15_c_link__3_N_iPr2__site4,ch2_15_c_link__3_N_iPr2__site4.xyz,CC(N(C(C)C)C[C@@H]1Cc2ccccc2-c2c1cccc2)C
1034,ch2_15_c_link__5_NPh2__site1,ch2_15_c_link__5_NPh2__site1.xyz,c1ccc(cc1)N(c1ccccc1)Cc1cccc2c1-c1ccccc1CC2
1035,ch2_15_c_link__5_NPh2__site2,ch2_15_c_link__5_NPh2__site2.xyz,c1ccc(cc1)N(c1ccccc1)Cc1ccc2c(-c3ccccc3CC2)c1
1036,ch2_15_c_link__5_NPh2__site3,ch2_15_c_link__5_NPh2__site3.xyz,c1ccc(cc1)N(c1ccccc1)Cc1cccc2-c3c(CCc12)cccc3
1037,ch2_15_c_link__5_NPh2__site4,ch2_15_c_link__5_NPh2__site4.xyz,c1ccc(cc1)N(c1ccccc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1038,ch2_15_c_link__6_NPhNH2__site1,ch2_15_c_link__6_NPhNH2__site1.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1cccc2c1-c1ccccc1CC2
1039,ch2_15_c_link__6_NPhNH2__site2,ch2_15_c_link__6_NPhNH2__site2.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1ccc2c(-c3ccccc3CC2)c1
1040,ch2_15_c_link__6_NPhNH2__site3,ch2_15_c_link__6_NPhNH2__site3.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)Cc1cccc2-c3c(CCc12)cccc3
1041,ch2_15_c_link__6_NPhNH2__site4,ch2_15_c_link__6_NPhNH2__site4.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)C[C@@H]1Cc2ccccc2-c2c1cccc2
1042,ch2_15_c_link__7_pipyredine__site4,ch2_15_c_link__7_pipyredine__site4.xyz,C1CCN(CC1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1043,ch2_15_c_link__8_p-pyridine__site1,ch2_15_c_link__8_p-pyridine__site1.xyz,n1ccc(cc1)Cc1cccc2c1-c1ccccc1CC2
